Matrix_id	Gene_id	Species	Method	Datasource	Datasource_ID
MP00622	AT5G04340	Arabidopsis thaliana	PBM	PMID:24477691	ZAT6
MP00623	PK19363.1	Cannabis sativa	PBM	PMID:25215497	M0004_1.02
MP00624	PK22848.1	Cannabis sativa	PBM	PMID:25215497	M0587_1.02
MP00625	PK02532.1	Cannabis sativa	PBM	PMID:25215497	M1303_1.02
MP00626	PK06103.1	Cannabis sativa	PBM	PMID:25215497	M1304_1.02
MP00627	PK06182.1	Cannabis sativa	PBM	PMID:25215497	M1305_1.02
MP00628	PK10342.1	Cannabis sativa	PBM	PMID:25215497	M1307_1.02
MP00629	PK14402.1	Cannabis sativa	PBM	PMID:25215497	M1308_1.02
MP00630	PK17526.1	Cannabis sativa	PBM	PMID:25215497	M1309_1.02
MP00631	PK23829.1	Cannabis sativa	PBM	PMID:25215497	M1311_1.02
MP00632	PK28565.1	Cannabis sativa	PBM	PMID:25215497	M1313_1.02
MP00633	PK06791.1	Cannabis sativa	PBM	PMID:25215497	M1559_1.02
MP00634	PK22320.1	Cannabis sativa	PBM	PMID:25215497	M1560_1.02
MP00635	PK14653.1	Cannabis sativa	PBM	PMID:25215497	M1643_1.02
MP00636	Glyma.19G095300	Glycine max	PBM	PMID:25215497	M1661_1.02
MP00637	MLOC_71332	Hordeum vulgare	SELEX	PMID:26531826	MA0034.1
MP00638	Lj0g3v0004489, Lj0g3v0057219, Lj0g3v0255469	Lotus japonicus	PBM	PMID:25215497	M1662_1.02
MP00639	Lj6g3v1946420	Lotus japonicus	PBM	PMID:25215497	M1663_1.02
MP00640	MDP0000164819	Malus domestica	PBM	PMID:25215497	M1294_1.02
MP00641	Manes.12G007700	Manihot esculenta	PBM	PMID:25215497	M1660_1.02
MP00642	LOC107771743	Nicotiana tabacum	SELEX	PMID:26531826	MA0129.1
MP00643	BGIOSGA008683	Oryza sativa subsp. indica	PBM	PMID:25215497	M1658_1.02
MP00644	LOC_Os02g45450	Oryza sativa subsp. japonica	PBM	PMID:25215497	M0042_1.02
MP00645	LOC_Os05g41760	Oryza sativa subsp. japonica	PBM	PMID:25215497	M0043_1.02
MP00646	LOC_Os08g39630	Oryza sativa subsp. japonica	PBM	PMID:25215497	M0229_1.02
MP00647	LOC_Os02g49560	Oryza sativa subsp. japonica	PBM	PMID:25215497	M0328_1.02
MP00648	LOC_Os05g36160	Oryza sativa subsp. japonica	PBM	PMID:25215497	M0329_1.02
MP00649	LOC_Os09g31400	Oryza sativa subsp. japonica	PBM	PMID:25215497	M0683_1.02
MP00650	LOC_Os09g35910	Oryza sativa subsp. japonica	PBM	PMID:25215497	M1108_1.02
MP00651	LOC_Os02g01380	Oryza sativa subsp. japonica	PBM	PMID:25215497	M1284_1.02
MP00652	LOC_Os01g51154	Oryza sativa subsp. japonica	PBM	PMID:25215497	M1361_1.02
MP00653	LOC_Os02g09480	Oryza sativa subsp. japonica	PBM	PMID:25215497	M1362_1.02
MP00654	LOC_Os08g06110	Oryza sativa subsp. japonica	PBM	PMID:25215497	M1365_1.02
MP00655	LOC_Os02g42380	Oryza sativa subsp. japonica	PBM	PMID:25215497	M1657_1.02
MP00656	Pp3c4_2680	Physcomitrella patens	PBM	PMID:25215497	M0072_1.02
MP00657	Pp3c3_31490	Physcomitrella patens	PBM	PMID:25215497	M0073_1.02
MP00658	Pp3c3_6250	Physcomitrella patens	PBM	PMID:25215497	M0074_1.02
MP00659	Pp3c14_15890	Physcomitrella patens	PBM	PMID:25215497	M0250_1.02
MP00660	Pp3c6_9520	Physcomitrella patens	PBM	PMID:25215497	M0252_1.02
MP00661	Pp3c1_6880	Physcomitrella patens	PBM	PMID:25215497	M0677_1.02
MP00662	Pp3c6_27690	Physcomitrella patens	PBM	PMID:25215497	M1413_1.02
MP00663	Pp3c16_19830	Physcomitrella patens	PBM	PMID:25215497	M1415_1.02
MP00664	Potri.002G002400	Populus trichocarpa	PBM	PMID:25215497	M1568_1.02
